,category,link
347,issue,https://github.com/spreadsheetimporter/ui5-cc-spreadsheetimporter/issues/614
348,issue,https://github.com/MaaAssistantArknights/MaaAssistantArknights/issues/10282
349,issue,https://github.com/microsoft/aitour-building-copilots-with-copilot-studio/issues/5
350,issue,https://github.com/logancyang/obsidian-copilot/issues/525
351,issue,https://github.com/yetone/avante.nvim/issues/157
352,issue,https://github.com/zbirenbaum/copilot.lua/issues/310
353,issue,https://github.com/rstudio/rstudio/issues/15092
354,issue,https://github.com/yetone/avante.nvim/issues/282
355,issue,https://github.com/yetone/avante.nvim/issues/296
356,issue,https://github.com/jonataslaw/getx/issues/3197
357,issue,https://github.com/Chainlit/chainlit/issues/1279
358,issue,https://github.com/stneveadomi/grepc/issues/107
359,issue,https://github.com/microsoft/vscode/issues/227336
360,issue,https://github.com/olimorris/codecompanion.nvim/issues/160
